Wall time,Step,Value
1575198260.082543,732160,12.600000381469727
1575198471.2505817,736256,16.799999237060547
1575198696.4077876,739328,13.600000381469727
1575198747.2771041,740352,14.600000381469727
1575198797.7762265,741376,15.5
1575198852.0554016,742400,12.699999809265137
1575199163.700986,748544,13.800000190734863
1575199525.3866508,754688,16.100000381469727
1575199632.9057057,756736,15.899999618530273
1575199687.7959898,757760,16.799999237060547
1575199952.7633154,761856,17.299999237060547
1575200110.8003058,764928,17.5
1575200167.3008554,765952,11.800000190734863
1575200323.1087716,769024,15.5
1575200421.3370936,770048,15.899999618530273
1575200472.67202,771072,15.600000381469727
1575200585.3613553,773120,13.0
1575200694.962831,775168,17.100000381469727
1575201048.6847532,781312,17.5
1575201210.957521,784384,16.700000762939453
1575201263.7380283,785408,17.299999237060547
1575201424.7441149,788480,15.300000190734863
1575201476.76041,789504,15.800000190734863
1575201680.9754293,790528,14.0
1575201787.435525,792576,13.100000381469727
1575201838.244079,793600,13.0
1575202161.7476978,799744,14.899999618530273
1575202546.129314,803840,15.300000190734863
1575202601.4564998,804864,17.299999237060547
1575202710.9655943,806912,15.699999809265137
1575202820.7328453,808960,12.300000190734863
1575203250.2233443,811008,12.300000190734863
1575203304.718137,812032,13.800000190734863
1575203355.8480363,813056,13.300000190734863
1575203409.5207362,814080,13.0
1575203469.4939175,815104,14.600000381469727
1575203630.0918453,818176,9.300000190734863
1575203741.2878036,820224,11.399999618530273
1575204023.0113177,822272,18.700000762939453
1575204185.769384,825344,15.100000381469727
1575204297.153946,827392,13.399999618530273
1575204347.1070993,828416,12.600000381469727
1575204400.0005171,829440,17.799999237060547
1575205059.662785,835584,15.399999618530273
1575205111.83787,836608,15.600000381469727
1575205226.7597947,838656,16.100000381469727
1575205600.712133,841728,16.0
1575205831.3405666,845824,15.600000381469727
1575205996.9491138,848896,17.700000762939453
1575206292.2252278,851968,12.399999618530273
1575206354.2330236,852992,15.800000190734863
1575206469.3067257,855040,14.100000381469727
1575206586.878668,857088,14.899999618530273
1575206692.5414598,859136,17.399999618530273
1575207147.8992164,864256,16.399999618530273
1575207310.944167,867328,13.5
1575207420.4549942,869376,15.100000381469727
1575208899.2345834,884736,14.699999809265137
1575209114.981399,888832,18.100000381469727
1575209222.579481,890880,17.899999618530273
1575209274.802428,891904,16.899999618530273
1575209821.940306,896000,17.399999618530273
1575209932.1537828,898048,12.0
1575209983.9272141,899072,16.399999618530273
1575210150.3227859,902144,17.399999618530273
1575210585.512326,904192,14.800000190734863
1575210687.9493973,906240,13.300000190734863
1575210848.6418672,909312,18.399999618530273
1575210962.9552748,911360,15.199999809265137
1575211021.1593266,912384,17.600000381469727
1575211460.4046822,914432,16.799999237060547
1575211672.0867414,918528,16.600000381469727
1575211895.923458,922624,14.100000381469727
1575212596.3531187,929792,14.699999809265137
1575212649.171172,930816,14.600000381469727
1575212702.551164,931840,17.399999618530273
